race|birth_date|isVaccinated|ownerName
Common wolf|06-09-2019|true|Goraud Ismirnioglou
African clawless otter|15-04-2020|true|Mervin Currum
Snowy owl|08-05-2020|true|Vick Showering
Racer, blue|02-05-2019|true|Edeline Brizell
Common wolf|01-08-2017|false|Tara Tofano
Seal, northern fur|21-06-2016|true|Annalee Corkitt
White-mantled colobus|10-07-2018|true|Agneta Amburgy
Common langur|12-10-2018|true|Devonna Nathan
Mourning collared dove|08-05-2020|false|Tommi Matuszewski
Heron, yellow-crowned night|08-09-2016|false|Audrye Durrance
Western spotted skunk|23-09-2020|false|Shirlee Stanlick
Bandicoot, southern brown|18-12-2018|true|Carlie Bocock
Magpie, australian|24-02-2016|false|Berry Bauchop
Bontebok|06-01-2019|true|Rona Steels
Gull, southern black-backed|29-01-2020|true|Mame Sagg
Violet-eared waxbill|18-08-2018|false|Lucine Barns
Caracara (unidentified)|08-11-2017|true|Sandor Cutchey
Raccoon, common|27-06-2017|true|Barbe Benez
Small-toothed palm civet|02-08-2022|false|Ian Haney`
Hartebeest, red|09-10-2018|true|Richart Van der Beken
Dove, white-winged|07-05-2021|false|Freida Matuskiewicz
Squirrel, golden-mantled ground|22-09-2022|false|Carolina Nilles
Heron, little|21-06-2020|true|Jehanna Aiton
Kori bustard|12-02-2019|false|Forest Gatsby
Macaque, japanese|30-08-2018|true|Stanleigh Bendell
Laughing dove|05-02-2017|false|Corina Jeenes
Snowy sheathbill|11-09-2019|false|Alida Barwood
Bald eagle|22-08-2018|false|Ogden Crooks
Racer, american|27-08-2022|false|Neely Burling
Frogmouth, tawny|04-04-2022|true|Bobbie Gulley
Hawk-eagle, crowned|07-05-2019|false|Willey Craven
Short-nosed bandicoot|16-07-2021|true|Reg Breznovic
Monster, gila|05-01-2019|true|Patton Ferrai
Eagle, tawny|24-06-2019|false|Vick Crebbin
Cape white-eye|11-01-2017|true|Bernete Pappin
Wambenger, red-tailed|23-01-2016|true|Edy Spick
Wallaby, bennett's|25-02-2021|true|Berti Stadden
Purple moorhen|30-08-2022|true|Garnet Aireton
Australian brush turkey|10-06-2019|false|Brinn Bianco
Bunting, crested|09-03-2016|true|Edna Shufflebotham
Wolf spider|27-07-2020|false|Glennis Mein
Phalarope, red|31-05-2017|false|Georgetta Wiltshear
Red-winged hawk (unidentified)|22-05-2019|true|Jaclin Mandrey
Albatross, galapagos|28-02-2021|false|Ted Liley
Great horned owl|21-01-2021|true|Gerrilee Mc Combe
Robin, kalahari scrub|02-12-2020|false|Dianna Hoonahan
Egyptian viper|25-03-2020|true|Dorian Claibourn
Cottonmouth|07-02-2020|true|Henrie Mignot
Tern, white-winged black|30-08-2020|true|Rosalyn De Simoni
Paddy heron (unidentified)|29-09-2017|false|Jessy Ingleton
Jaeger, long-tailed|28-11-2019|false|Estell Stienton
Cat, civet|08-10-2015|false|Meghann Seacombe
Small-spotted genet|02-12-2018|true|Myrah Stride
Deer, black-tailed|09-11-2019|true|Merrill Liddyard
Dove, mourning collared|17-07-2018|false|Joshia Radcliffe
Elk, Wapiti|21-11-2018|true|Kalila Swindin
Lion, australian sea|14-10-2021|false|Cissiee Botcherby
Barasingha deer|16-10-2016|true|Leigh Beecker
Mallard|09-05-2022|true|Conny Slane
Barbet, levaillant's|24-10-2015|false|Isiahi Inderwick
Monitor lizard (unidentified)|10-11-2019|true|Thain MacPike
Sparrow, rufous-collared|08-08-2018|false|Hinze Ferrier
Dragon, komodo|23-07-2017|false|Juieta Sexcey
Deer, swamp|29-01-2016|true|Pauly Durnell
Loris, slender|23-03-2018|true|Clemens Suart
Mallard|06-08-2020|true|Mersey Axcell
Baboon, gelada|27-03-2016|true|Thomas MacBrearty
Common zorro|19-06-2017|false|Kippy Powdrill
African ground squirrel (unidentified)|08-09-2021|false|Jabez Gringley
Indian mynah|23-04-2018|false|Avivah Beisley
Giraffe|23-02-2016|false|Annis Boarder
Groundhog|01-10-2019|true|Tomasina Wise
Buffalo, asian water|12-04-2017|false|Carmelle Wheway
Anteater, australian spiny|25-08-2020|true|Phineas Glavin
Woodpecker, red-headed|09-04-2018|true|Jone Bostick
Crow, pied|02-05-2020|false|Suzie Vaudrey
Campo flicker|29-03-2019|false|Almeda McEvoy
Striped skunk|17-11-2017|false|Ketty Salamon
Otter, brazilian|19-05-2020|true|Welby Thornley
Western bearded dragon|02-08-2020|false|Helenka Sorby
Feral rock pigeon|01-12-2015|false|Alvin Over
Constrictor, eastern boa|10-01-2022|true|Phaidra Dudgeon
Gull, silver|14-08-2022|false|Laurens Balazin
Cat, cape wild|07-04-2021|false|Raquela Antonescu
Horned puffin|23-07-2016|false|Agretha Kilius
Common boubou shrike|22-04-2020|false|Sheila-kathryn Elcombe
